Link,Headline,Date,Description
https://www.cnn.com/2024/03/12/politics/biden-economic-populist-inflation-analysis/index.html,How Biden hopes to recapture voters scarred by inflation,"Mar 12, 2024","As President Joe Biden barnstorms battleground states this week, he is framing the debate with former President Donald Trump around themes of economic populism that Democrats have employed, often with success, for decades. But Trump, the ..."
https://www.cnn.com/2024/03/12/politics/rnc-trump-takeover-lawyers-election/index.html,RNC to add new lawyers focusing on claims of election fraud – including one key figure from 2020 challenges,"Mar 12, 2024","The Republican National Committee, now under the control of former President Donald Trump and his campaign, is bringing on a slate of new lawyers both internally and externally who will focus intensely on election fraud, an issue Trump ..."
https://www.cnn.com/2024/03/12/politics/rfk-jr-vice-president-nominee/index.html,RFK Jr. has chosen VP nominee who he will announce within two weeks,"Mar 12, 2024","Independent presidential candidate Robert F. Kennedy Jr. has selected a vice presidential nominee and will announce his decision within the next two weeks, he told CNN on Tuesday."
https://www.cnn.com/2024/03/12/politics/trump-hush-money-payments-trial-defense/index.html,Trump team says it’ll argue lawyers’ involvement in alleged hush money scheme shows Trump had no intent to commit crimes,"Mar 12, 2024",Donald Trump’s defense team says it will emphasize his past lawyers’ involvement in payments at the center of an alleged hush money scheme when his New York criminal case related to the matter goes to trial later this month.
https://www.cnn.com/2024/03/12/politics/social-security-cuts-trump-tiktok-ban-what-matters/index.html,Two major Trump policy shifts explained in one interview,"Mar 12, 2024","Former President Donald Trump’s politics is mostly focused on himself, as opposed to an ideology, but two notable evolutions this week – on Social Security and TikTok – spotlight something new."
https://www.cnn.com/2024/03/12/politics/biden-trump-presidential-nominees/index.html,"Biden and Trump clinch nominations, heading to another general election rematch","Mar 12, 2024","Donald Trump has clinched the Republican nomination for president, CNN projects, setting up a rematch with Joe Biden, the incumbent president who secured the Democratic nomination earlier Tuesday night."
https://www.cnn.com/2024/03/12/politics/scott-mcafee-interview-fani-willis-trump/index.html,Georgia judge says he’s on track to rule this week on whether to remove DA Fani Willis from Trump election case,"Mar 12, 2024",The presiding judge in former President Donald Trump’s Georgia election subversion case says he is on track to have his order finished by the end of this week on whether to disqualify Fulton County District Attorney Fani Wills.
https://www.cnn.com/politics/live-news/primary-elections-georgia-washington-mississippi-03-12-24/index.html,Biden and Trump head toward rematch after securing party nominations,"Mar 12, 2024","President Joe Biden and former President Donald Trump have earned enough delegates to win their parties’ presidential nominations, CNN projects. Follow here for the latest live news updates, results and analysis."
https://www.cnn.com/2024/03/12/media/cnbc-trump-interview-lies/index.html,CNBC invited Trump on its air. The network didn’t even try to stop his lies,"Mar 12, 2024","CNBC’s “Squawk Box” welcomed former President Trump for a live telephone chat, in which he had safe harbor to make outrageous and false comments without scrutiny."
https://www.cnn.com/politics/live-news/robert-hur-hearing-biden-03-12-24/index.html,Special counsel Robert Hur testifies on Biden classified documents probe,"Mar 12, 2024",Special counsel Robert Hur testified Tuesday at a public hearing in front of the House Judiciary Committee.
